bronx_pace_bkt,pace_diff_bkt,runners,bronx_pace_bkt_1,p10,p50,p90
11:20,-210,4,11:20,-180,-100,0
12:30,50,2,12:30,-180,-90,20
11:50,-70,17,11:50,-180,-95,0
13:40,-20,2,13:40,-199,-80,107
14:10,-170,2,14:10,-217,-100,-1
09:20,90,2,09:20,-180,-90,-20
10:00,50,4,10:00,-170,-90,-10
14:50,-140,1,14:50,-136,-60,82
08:20,-270,3,08:20,-165,-80,-20
10:30,-10,16,10:30,-181,-90,-10
18:40,-30,1,18:40,-25,-5,15
08:00,-240,5,08:00,-160,-70,-20
11:50,-110,20,11:50,-180,-95,0
14:00,-170,4,14:00,-210,-105,20
10:30,-180,13,10:30,-181,-90,-10
12:50,-200,5,12:50,-200,-100,20
13:20,-20,8,13:20,-170,-70,78
14:00,0,2,14:00,-210,-105,20
11:10,-270,3,11:10,-190,-100,-10
09:50,20,10,09:50,-180,-80,-20
08:40,-230,11,08:40,-160,-80,-20
09:10,-250,4,09:10,-180,-90,-20
08:00,-280,3,08:00,-160,-70,-20
11:20,-170,11,11:20,-180,-100,0
05:50,-60,5,05:50,-72,-30,-18
13:10,-50,8,13:10,-180,-90,-20
11:50,-50,18,11:50,-180,-95,0
07:00,-30,38,07:00,-130,-60,-20
05:10,-10,3,05:10,-30,-10,-10
05:20,-20,4,05:20,-100,-30,-20
13:20,-120,7,13:20,-170,-70,78
09:10,-240,4,09:10,-180,-90,-20
13:00,-80,7,13:00,-178,-90,28
07:30,-270,5,07:30,-140,-70,-20
10:00,-260,7,10:00,-170,-90,-10
06:40,-230,1,06:40,-100,-50,-20
15:50,30,1,15:50,-170,60,278
10:50,-160,18,10:50,-180,-90,-10
12:00,-180,9,12:00,-204,-100,10
11:50,-160,5,11:50,-180,-95,0
07:00,90,1,07:00,-130,-60,-20
07:30,-290,1,07:30,-140,-70,-20
13:10,-10,1,13:10,-180,-90,-20
12:20,-120,18,12:20,-200,-100,-10
07:30,-300,1,07:30,-140,-70,-20
12:50,-160,4,12:50,-200,-100,20
08:50,-190,12,08:50,-160,-80,-20
08:30,-280,4,08:30,-160,-80,-20
06:10,-50,9,06:10,-90,-40,-20
08:40,-190,12,08:40,-160,-80,-20
09:40,-280,1,09:40,-170,-90,-20
08:30,30,7,08:30,-160,-80,-20
11:10,0,8,11:10,-190,-100,-10
13:40,-130,2,13:40,-199,-80,107
11:00,30,6,11:00,-190,-100,-10
07:40,-190,3,07:40,-140,-70,-20
12:10,-230,7,12:10,-190,-100,-10
16:40,-100,3,16:40,-184,-100,105
12:50,-120,10,12:50,-200,-100,20
11:30,50,4,11:30,-190,-100,-10
08:40,40,4,08:40,-160,-80,-20
15:00,50,1,15:00,-130,-55,77
11:40,-160,10,11:40,-190,-100,-10
10:40,0,7,10:40,-180,-100,-24
