bronx_pace_bkt,pace_diff_bkt,runners,bronx_pace_bkt_1,p10,p50,p90
13:10,130.0,5,13:10,-90.0,-10.0,80.0
08:10,50.0,15,08:10,-80.0,-20.0,20.0
14:50,50.0,1,14:50,-70.0,0.0,90.0
13:10,-40.0,24,13:10,-90.0,-10.0,80.0
15:50,0.0,3,15:50,-112.0,0.0,104.0
10:10,60.0,24,10:10,-80.0,-20.0,30.0
12:50,30.0,19,12:50,-80.0,-10.0,80.0
11:50,110.0,5,11:50,-90.0,-10.0,60.0
09:40,80.0,7,09:40,-90.0,-20.0,30.0
07:50,40.0,25,07:50,-80.0,-20.0,20.0
11:40,-110.0,11,11:40,-90.0,-10.0,60.0
12:30,30.0,36,12:30,-100.0,-10.0,70.0
12:40,0.0,29,12:40,-90.0,-10.0,90.0
12:30,10.0,28,12:30,-100.0,-10.0,70.0
12:30,-70.0,15,12:30,-100.0,-10.0,70.0
11:50,80.0,8,11:50,-90.0,-10.0,60.0
12:00,180.0,1,12:00,-90.0,-10.0,60.0
11:00,-110.0,17,11:00,-90.0,-20.0,50.0
17:00,30.0,1,17:00,-86.0,20.0,48.0
09:40,-90.0,53,09:40,-90.0,-20.0,30.0
12:40,20.0,17,12:40,-90.0,-10.0,90.0
12:40,-80.0,11,12:40,-90.0,-10.0,90.0
08:10,40.0,22,08:10,-80.0,-20.0,20.0
10:10,-80.0,53,10:10,-80.0,-20.0,30.0
12:30,-120.0,3,12:30,-100.0,-10.0,70.0
14:40,-50.0,5,14:40,-80.0,0.0,94.0
14:30,-10.0,7,14:30,-84.0,0.0,90.0
08:10,-90.0,18,08:10,-80.0,-20.0,20.0
07:20,30.0,16,07:20,-70.0,-10.0,20.0
06:20,-10.0,27,06:20,-50.0,-10.0,10.0
12:20,-30.0,44,12:20,-90.0,-10.0,70.0
13:40,50.0,4,13:40,-100.0,-10.0,80.0
13:10,110.0,4,13:10,-90.0,-10.0,80.0
12:10,-140.0,4,12:10,-80.0,-10.0,60.0
10:20,-120.0,20,10:20,-85.0,-20.0,40.0
16:10,40.0,4,16:10,-85.0,25.0,115.0
13:00,50.0,8,13:00,-80.0,-10.0,91.0
11:30,150.0,5,11:30,-90.0,-10.0,50.0
13:20,-10.0,12,13:20,-99.0,0.0,90.0
16:20,-10.0,2,16:20,-90.0,5.0,138.0
13:00,70.0,8,13:00,-80.0,-10.0,91.0
08:00,-120.0,9,08:00,-73.0,-10.0,20.0
12:20,60.0,25,12:20,-90.0,-10.0,70.0
09:40,70.0,17,09:40,-90.0,-20.0,30.0
08:20,110.0,1,08:20,-80.0,-20.0,20.0
16:10,170.0,1,16:10,-85.0,25.0,115.0
13:50,-130.0,5,13:50,-110.0,-10.0,90.0
11:50,30.0,42,11:50,-90.0,-10.0,60.0
12:20,20.0,32,12:20,-90.0,-10.0,70.0
09:20,-190.0,4,09:20,-80.0,-20.0,30.0
10:50,-150.0,4,10:50,-84.0,-20.0,40.0
12:40,-50.0,26,12:40,-90.0,-10.0,90.0
13:20,-130.0,6,13:20,-99.0,0.0,90.0
14:40,100.0,3,14:40,-80.0,0.0,94.0
05:50,0.0,4,05:50,-50.0,-15.0,10.0
12:00,160.0,2,12:00,-90.0,-10.0,60.0
12:00,-90.0,20,12:00,-90.0,-10.0,60.0
09:00,-220.0,4,09:00,-90.0,-20.0,20.0
07:10,-200.0,1,07:10,-70.0,-10.0,20.0
09:00,-170.0,9,09:00,-90.0,-20.0,20.0
12:30,-240.0,7,12:30,-100.0,-10.0,70.0
13:20,10.0,11,13:20,-99.0,0.0,90.0
11:20,80.0,11,11:20,-90.0,-10.0,50.0
13:30,50.0,5,13:30,-74.0,0.0,90.0
07:30,-60.0,33,07:30,-70.0,-10.0,20.0
12:30,70.0,14,12:30,-100.0,-10.0,70.0
07:50,-230.0,5,07:50,-80.0,-20.0,20.0
06:50,-230.0,1,06:50,-70.0,-10.0,10.0
08:00,30.0,47,08:00,-73.0,-10.0,20.0
